Calendar Month,Sum of Withdrawals (GBP),Sum of Deposits (GBP),Number of Transactions,Account Balance for each account (GBP)
2015-01-01,4414289992.979907,4212626565.594436,2366,"{1196428.0: 100481449.94937985, 409000000000.0: -153031238.21684623, 1196711.0: -149113639.11800784}"
2015-02-01,3549065896.4738817,3375697052.538827,2116,"{1196428.0: 114407172.3253284, 409000000000.0: -124860237.8842737, 1196711.0: -364579205.7615823}"
2015-03-01,3964743307.807552,4063095415.129366,2410,"{1196428.0: 69333724.25527234, 409000000000.0: -311361671.55667275, 1196711.0: -34652216.69731072}"
2015-04-01,3927663049.067561,3748128209.0130167,2334,"{1196428.0: -69226377.70372741, 409000000000.0: -542059603.6524009, 1196711.0: 155070977.30286798}"
2015-05-01,4021107475.5262804,3658217096.7514253,2414,"{1196428.0: -174302326.8859931, 409000000000.0: -454023301.73039913, 1196711.0: -190779754.21173328}"
2015-06-01,3474697512.515458,4066093146.0375257,2346,"{1196428.0: 242410845.32818705, 409000000000.0: -289588780.3872394, 1196711.0: -180531814.24700192}"
2015-07-01,3735784279.3691525,3737174222.932695,2307,"{1196428.0: 23955739.621779118, 409000000000.0: -91467706.41796027, 1196711.0: -158807838.94632825}"
2015-08-01,3744099591.1210055,4044812000.7325096,2332,"{1196428.0: 47847319.93970239, 409000000000.0: -134069423.50119367, 1196711.0: 160614707.43048534}"
2015-09-01,3801767681.1830506,3795796916.642321,2351,"{1196428.0: 177635555.19747457, 409000000000.0: -104372071.01146106, 1196711.0: -4841644.8577450365}"
2015-10-01,3211554804.5591717,3324203473.4893794,2319,"{1196428.0: 363132073.8477044, 409000000000.0: -66430994.14273702, 1196711.0: -115630571.44648516}"
2015-11-01,3702654562.5868673,3656573320.9317,2314,"{1196428.0: 382633027.275832, 409000000000.0: -74004763.53889865, 1196711.0: -173638997.13362294}"
2015-12-01,3632095410.8943534,3928423504.0560207,2303,"{1196428.0: 431824225.46033204, 409000000000.0: 78917124.14323573, 1196711.0: -79423989.83858424}"
2016-01-01,4325661296.234161,3727296263.5229917,2311,"{1196428.0: 406253861.3067009, 409000000000.0: -254749000.37745044, 1196711.0: -318552533.87543386}"
2016-02-01,3772827241.7022095,3508618557.520945,2289,"{1196428.0: 152703135.4749731, 409000000000.0: -184773548.7255171, 1196711.0: -399185943.87690437}"
2016-03-01,4137574015.929881,3473857306.717382,2324,"{1196428.0: 197245353.3604525, 409000000000.0: -669264524.1557677, 1196711.0: -622953895.544635}"
2016-04-01,3990719528.113525,4090253963.5638304,2264,"{1196428.0: 143100510.22911826, 409000000000.0: -266865929.24775973, 1196711.0: -871673211.8710003}"
2016-05-01,3192129368.4909244,3938534574.6962366,2304,"{1196428.0: 239008777.96232194, 409000000000.0: 348491716.3273243, 1196711.0: -836533918.9739727}"
2016-06-01,3680577422.45281,3785644905.8299704,2243,"{1196428.0: 159436780.02469388, 409000000000.0: 524048226.4788809, 1196711.0: -827450947.8107407}"
2016-07-01,4656097593.269796,4297325332.022882,2284,"{1196428.0: 295452384.59303504, 409000000000.0: 58262411.8452808, 1196711.0: -856452998.992395}"
2016-08-01,4600011196.181228,3787178911.103778,2379,"{1196428.0: 193273151.03490335, 409000000000.0: -623307883.8094878, 1196711.0: -885535754.8569447}"
2016-09-01,4752199139.83602,4194623125.120393,2379,"{1196428.0: 150250083.18924972, 409000000000.0: -899623450.966221, 1196711.0: -1123773134.5701861}"
2016-10-01,4433410314.048645,4635985346.071824,2400,"{1196428.0: 298841792.78296006, 409000000000.0: -845985605.1008879, 1196711.0: -1123427658.0060549}"
2016-11-01,3809089293.4946494,4310443695.075435,2291,"{1196428.0: -204743866.2605769, 409000000000.0: 18396096.91480075, 1196711.0: -982869299.3974135}"
2016-12-01,3990393393.072935,3992579963.766606,2243,"{1196428.0: 65364103.94047286, 409000000000.0: 20902924.4256206, 1196711.0: -1253297526.4156113}"
2017-01-01,4980395221.425917,4912004186.724715,2384,"{1196428.0: 478804118.15950954, 409000000000.0: -396881321.7120942, 1196711.0: -1317344329.1981268}"
2017-02-01,4229163840.143446,3749435329.61857,2107,"{1196428.0: 449630468.3765923, 409000000000.0: -651497386.5267478, 1196711.0: -1513283125.1254387}"
2017-03-01,4358905294.60614,4122144297.8968196,2304,"{1196428.0: 379729811.4273833, 409000000000.0: -746934454.5083665, 1196711.0: -1584706396.9039285}"
2017-04-01,3990869259.410073,4686773579.617344,2379,"{1196428.0: 381115461.03782964, 409000000000.0: -301935053.26744425, 1196711.0: -1335187127.5480309}"
2017-05-01,4527867969.614087,4704793929.547637,2393,"{1196428.0: 240755472.15981796, 409000000000.0: -371153247.1158223, 1196711.0: -948682984.8880934}"
2017-06-01,4982777221.036079,4198277305.6009917,2331,"{1196428.0: 290028745.067156, 409000000000.0: -1167134586.4024248, 1196711.0: -986474833.9439079}"
2017-07-01,4175956985.774147,3940295743.0846915,2331,"{1196428.0: -66896877.933881424, 409000000000.0: -1122276157.0315452, 1196711.0: -910068883.0032091}"
2017-08-01,4199859331.1089826,4136124097.8697057,2352,"{1196428.0: -77415482.47554262, 409000000000.0: -903362774.3855981, 1196711.0: -1182198894.3467724}"
2017-09-01,4399955218.855753,3912850942.8768363,2208,"{1196428.0: 107169395.49695519, 409000000000.0: -1374187889.1916692, 1196711.0: -1383062933.492116}"
2017-10-01,4055222223.226094,4791057153.791084,2367,"{1196428.0: 178759142.362453, 409000000000.0: -674820954.4066486, 1196711.0: -1418184684.5776403}"
2017-11-01,4318551967.46251,4353549733.919462,2325,"{1196428.0: 246104805.53614187, 409000000000.0: -724156411.7261361, 1196711.0: -1401197123.974891}"
2017-12-01,4087493179.6866,4121318115.3604403,2325,"{1196428.0: 191126968.4590671, 409000000000.0: -566370000.1566609, 1196711.0: -1470180762.793455}"
2018-01-01,4391282126.13122,3728565178.658924,2322,"{1196428.0: 85756038.31881489, 409000000000.0: -1139792079.7542841, 1196711.0: -1454104700.5278733}"
2018-02-01,3469714863.3976626,4513773190.4943285,2182,"{1196428.0: 470901071.33443534, 409000000000.0: -409696680.4089152, 1196711.0: -1525286805.7921941}"
2018-03-01,3839660167.031848,4076599091.235978,2338,"{1196428.0: 451965688.31191367, 409000000000.0: -167460975.2528636, 1196711.0: -1511648203.7215915}"
2018-04-01,4068742784.0511613,3706220329.8911247,2294,"{1196428.0: 563820560.7525818, 409000000000.0: -826232591.7578381, 1196711.0: -1327253913.8173165}"
